year;abbr;canton;age;sex;population
1991;BE;Bern;53;1;4999
1991;BE;Bern;54;1;4927
1991;BE;Bern;55;1;5043
1991;BE;Bern;56;1;4892
1991;BE;Bern;57;1;4844
1991;BE;Bern;58;1;4770
1991;BE;Bern;59;1;4649
1991;BE;Bern;60;1;4597
1991;BE;Bern;61;1;4572
1991;BE;Bern;62;1;4354
1991;BE;Bern;63;1;4218
1991;BE;Bern;64;1;4116
1991;BE;Bern;65;1;4153
1991;BE;Bern;66;1;4028
1991;BE;Bern;67;1;3867
1991;BE;Bern;68;1;3970
1991;BE;Bern;69;1;3736
1991;BE;Bern;70;1;3782
1991;BE;Bern;71;1;3757
1991;BE;Bern;72;1;3036
1991;BE;Bern;73;1;2980
1991;BE;Bern;74;1;2893
1991;BE;Bern;75;1;2698
1991;BE;Bern;76;1;2493
1991;BE;Bern;77;1;2667
1991;BE;Bern;78;1;2411
1991;BE;Bern;79;1;2264
1991;BE;Bern;80;1;2022
1991;BE;Bern;81;1;1822
1991;BE;Bern;82;1;1607
1991;BE;Bern;83;1;1499
1991;BE;Bern;84;1;1224
1991;BE;Bern;85;1;1109
1991;BE;Bern;86;1;868
1991;BE;Bern;87;1;753
1991;BE;Bern;88;1;565
1991;BE;Bern;89;1;479
1991;BE;Bern;90;1;335
1991;BE;Bern;91;1;264
1991;BE;Bern;92;1;168
1991;BE;Bern;93;1;140
1991;BE;Bern;94;1;97
1991;BE;Bern;95;1;57
1991;BE;Bern;96;1;35
1991;BE;Bern;97;1;35
1991;BE;Bern;98;1;19
1991;BE;Bern;99+;1;18
1991;BE;Bern;0;2;5479
1991;BE;Bern;1;2;5553
1991;BE;Bern;2;2;5208
1991;BE;Bern;3;2;5382
1991;BE;Bern;4;2;5053
1991;BE;Bern;5;2;5206
1991;BE;Bern;6;2;5276
1991;BE;Bern;7;2;5167
1991;BE;Bern;8;2;5283
1991;BE;Bern;9;2;5272
1991;BE;Bern;10;2;5259
1991;BE;Bern;11;2;5317
1991;BE;Bern;12;2;5218
1991;BE;Bern;13;2;5003
1991;BE;Bern;14;2;5077
1991;BE;Bern;15;2;5178
1991;BE;Bern;16;2;5121
1991;BE;Bern;17;2;5381
1991;BE;Bern;18;2;5550
1991;BE;Bern;19;2;6050
1991;BE;Bern;20;2;6233
1991;BE;Bern;21;2;6444
1991;BE;Bern;22;2;6840
1991;BE;Bern;23;2;7034
1991;BE;Bern;24;2;7217
1991;BE;Bern;25;2;7386
1991;BE;Bern;26;2;7477
1991;BE;Bern;27;2;7726
1991;BE;Bern;28;2;7794
1991;BE;Bern;29;2;7699
1991;BE;Bern;30;2;7758
1991;BE;Bern;31;2;7552
1991;BE;Bern;32;2;7519
1991;BE;Bern;33;2;7379
1991;BE;Bern;34;2;7327
1991;BE;Bern;35;2;7136
1991;BE;Bern;36;2;6954
1991;BE;Bern;37;2;6966
1991;BE;Bern;38;2;6878
1991;BE;Bern;39;2;6843
1991;BE;Bern;40;2;6606
1991;BE;Bern;41;2;6953
1991;BE;Bern;42;2;6915
1991;BE;Bern;43;2;7141
1991;BE;Bern;44;2;6995
1991;BE;Bern;45;2;7034
1991;BE;Bern;46;2;6773
1991;BE;Bern;47;2;6599
1991;BE;Bern;48;2;6445
1991;BE;Bern;49;2;6231
1991;BE;Bern;50;2;5840
1991;BE;Bern;51;2;5284
1991;BE;Bern;52;2;5447
1991;BE;Bern;53;2;5125
1991;BE;Bern;54;2;5086
1991;BE;Bern;55;2;5287
1991;BE;Bern;56;2;5223
1991;BE;Bern;57;2;5242
1991;BE;Bern;58;2;5264
1991;BE;Bern;59;2;5207
1991;BE;Bern;60;2;5038
1991;BE;Bern;61;2;5083
1991;BE;Bern;62;2;5009
1991;BE;Bern;63;2;4983
1991;BE;Bern;64;2;4982
1991;BE;Bern;65;2;5044
1991;BE;Bern;66;2;4959
1991;BE;Bern;67;2;5038
1991;BE;Bern;68;2;4958
1991;BE;Bern;69;2;4677
1991;BE;Bern;70;2;5070
1991;BE;Bern;71;2;4766
1991;BE;Bern;72;2;4138
1991;BE;Bern;73;2;3908
1991;BE;Bern;74;2;3854
1991;BE;Bern;75;2;3712
1991;BE;Bern;76;2;3705
1991;BE;Bern;77;2;3887
1991;BE;Bern;78;2;3766
1991;BE;Bern;79;2;3661
1991;BE;Bern;80;2;3388
1991;BE;Bern;81;2;3265
1991;BE;Bern;82;2;2931
1991;BE;Bern;83;2;2734
1991;BE;Bern;84;2;2467
1991;BE;Bern;85;2;2237
1991;BE;Bern;86;2;1876
1991;BE;Bern;87;2;1716
1991;BE;Bern;88;2;1409
1991;BE;Bern;89;2;1220
1991;BE;Bern;90;2;1017
1991;BE;Bern;91;2;774
1991;BE;Bern;92;2;581
1991;BE;Bern;93;2;431
1991;BE;Bern;94;2;286
1991;BE;Bern;95;2;184
1991;BE;Bern;96;2;124
1991;BE;Bern;97;2;105
1991;BE;Bern;98;2;51
1991;BE;Bern;99+;2;84
1991;LU;Luzern;0;1;2290
1991;LU;Luzern;1;1;2282
1991;LU;Luzern;2;1;2153
1991;LU;Luzern;3;1;2179
1991;LU;Luzern;4;1;2127
1991;LU;Luzern;5;1;2171
1991;LU;Luzern;6;1;2113
1991;LU;Luzern;7;1;2136
1991;LU;Luzern;8;1;2141
1991;LU;Luzern;9;1;2125
1991;LU;Luzern;10;1;2099
1991;LU;Luzern;11;1;2032
1991;LU;Luzern;12;1;1941
1991;LU;Luzern;13;1;2030
1991;LU;Luzern;14;1;1999
1991;LU;Luzern;15;1;2067
1991;LU;Luzern;16;1;2076
1991;LU;Luzern;17;1;2126
1991;LU;Luzern;18;1;2222
1991;LU;Luzern;19;1;2413
1991;LU;Luzern;20;1;2489
1991;LU;Luzern;21;1;2587
1991;LU;Luzern;22;1;2641
1991;LU;Luzern;23;1;2694
1991;LU;Luzern;24;1;2827
1991;LU;Luzern;25;1;2879
1991;LU;Luzern;26;1;3024
1991;LU;Luzern;27;1;3145
1991;LU;Luzern;28;1;3104
1991;LU;Luzern;29;1;2938
1991;LU;Luzern;30;1;2911
1991;LU;Luzern;31;1;2859
1991;LU;Luzern;32;1;2735
1991;LU;Luzern;33;1;2826
1991;LU;Luzern;34;1;2769
1991;LU;Luzern;35;1;2697
1991;LU;Luzern;36;1;2596
1991;LU;Luzern;37;1;2407
1991;LU;Luzern;38;1;2302
1991;LU;Luzern;39;1;2349
1991;LU;Luzern;40;1;2264
1991;LU;Luzern;41;1;2349
1991;LU;Luzern;42;1;2347
1991;LU;Luzern;43;1;2317
1991;LU;Luzern;44;1;2193
1991;LU;Luzern;45;1;2146
1991;LU;Luzern;46;1;2105
1991;LU;Luzern;47;1;2155
1991;LU;Luzern;48;1;2066
1991;LU;Luzern;49;1;1851
1991;LU;Luzern;50;1;1865
1991;LU;Luzern;51;1;1825
1991;LU;Luzern;52;1;1748
1991;LU;Luzern;53;1;1716
1991;LU;Luzern;54;1;1684
1991;LU;Luzern;55;1;1681
1991;LU;Luzern;56;1;1619
1991;LU;Luzern;57;1;1623
1991;LU;Luzern;58;1;1614
1991;LU;Luzern;59;1;1612
1991;LU;Luzern;60;1;1516
1991;LU;Luzern;61;1;1475
1991;LU;Luzern;62;1;1414
1991;LU;Luzern;63;1;1311
1991;LU;Luzern;64;1;1348
1991;LU;Luzern;65;1;1325
1991;LU;Luzern;66;1;1211
1991;LU;Luzern;67;1;1124
1991;LU;Luzern;68;1;1089
1991;LU;Luzern;69;1;1158
1991;LU;Luzern;70;1;1070
1991;LU;Luzern;71;1;1051
1991;LU;Luzern;72;1;882
1991;LU;Luzern;73;1;865
1991;LU;Luzern;74;1;784
1991;LU;Luzern;75;1;796
1991;LU;Luzern;76;1;729
1991;LU;Luzern;77;1;713
1991;LU;Luzern;78;1;663
1991;LU;Luzern;79;1;638
1991;LU;Luzern;80;1;609
1991;LU;Luzern;81;1;525
1991;LU;Luzern;82;1;463
1991;LU;Luzern;83;1;423
1991;LU;Luzern;84;1;349
1991;LU;Luzern;85;1;279
1991;LU;Luzern;86;1;270
1991;LU;Luzern;87;1;200
1991;LU;Luzern;88;1;165
1991;LU;Luzern;89;1;132
1991;LU;Luzern;90;1;102
1991;LU;Luzern;91;1;54
1991;LU;Luzern;92;1;54
1991;LU;Luzern;93;1;32
1991;LU;Luzern;94;1;23
1991;LU;Luzern;95;1;16
1991;LU;Luzern;96;1;11
1991;LU;Luzern;97;1;4
1991;LU;Luzern;98;1;5
1991;LU;Luzern;99+;1;4
1991;LU;Luzern;0;2;2228
1991;LU;Luzern;1;2;2191
1991;LU;Luzern;2;2;2090
1991;LU;Luzern;3;2;2111
1991;LU;Luzern;4;2;2044
1991;LU;Luzern;5;2;2038
1991;LU;Luzern;6;2;1955
1991;LU;Luzern;7;2;2030
1991;LU;Luzern;8;2;1938
1991;LU;Luzern;9;2;2037
1991;LU;Luzern;10;2;1911
1991;LU;Luzern;11;2;2056
1991;LU;Luzern;12;2;1906
1991;LU;Luzern;13;2;1912
1991;LU;Luzern;14;2;1905
1991;LU;Luzern;15;2;1907
1991;LU;Luzern;16;2;2006
1991;LU;Luzern;17;2;1992
1991;LU;Luzern;18;2;2110
1991;LU;Luzern;19;2;2292
1991;LU;Luzern;20;2;2450
1991;LU;Luzern;21;2;2415
1991;LU;Luzern;22;2;2678
1991;LU;Luzern;23;2;2769
1991;LU;Luzern;24;2;2776
1991;LU;Luzern;25;2;2900
1991;LU;Luzern;26;2;2855
